SKU,Descripcion,Categoria,Proveedor,PriceARS,StockQty
BLTAM0053,Accion Multiple Amarillo x 1 - Premier,Varios,BlueTools,0,0
BLTAM0054,Accion Multiple Amarillo x 4 - Premier,Varios,BlueTools,0,0
BLTAM0056,Accion Multiple Amarillo x 20 - Premier,Varios,BlueTools,0,0
BLTAM0062,Accion Multiple Marfil Seda x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0063,Accion Multiple Marfil Seda x 1 - Premier,Varios,BlueTools,0,0
BLTAM0064,Accion Multiple Marfil Seda x 4 - Premier,Varios,BlueTools,0,0
BLTAM0066,Accion Multiple Marfil Seda x 20 - Premier,Varios,BlueTools,0,0
BLTAM0072,Accion Multiple Crema x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0073,Accion Multiple Crema x 1 - Premier,Varios,BlueTools,0,0
BLTAM0074,Accion Multiple Crema x 4 - Premier,Varios,BlueTools,0,0
BLTAM0076,Accion Multiple Crema x 20 - Premier,Varios,BlueTools,0,0
BLTAM0082,Accion Multiple Beige x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0083,Accion Multiple Beige x 1 - Premier,Varios,BlueTools,0,0
BLTAM0084,Accion Multiple Beige x 4 - Premier,Varios,BlueTools,0,0
BLTAM0086,Accion Multiple Beige x 20 - Premier,Varios,BlueTools,0,0
BLTAM0092,Accion Multiple Naranja x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0093,Accion Multiple Naranja x 1 - Premier,Varios,BlueTools,0,0
BLTAM0094,Accion Multiple Naranja x 4 - Premier,Varios,BlueTools,0,0
BLTAM0096,Accion Multiple Naranja x 20 - Premier,Varios,BlueTools,0,0
BLTAM0102,Accion Multiple Castaño x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0103,Accion Multiple Castaño x 1 - Premier,Varios,BlueTools,0,0
BLTAM0104,Accion Multiple Castaño x 4 - Premier,Varios,BlueTools,0,0
BLTAM0106,Accion Multiple Castaño x 20 - Premier,Varios,BlueTools,0,0
BLTAM0112,Accion Multiple Marron Tabaco x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0113,Accion Multiple Marron Tabaco x 1 - Premier,Varios,BlueTools,0,0
BLTAM0114,Accion Multiple Marron Tabaco x 4 - Premier,Varios,BlueTools,0,0
BLTAM0116,Accion Multiple Marron Tabaco x 20 - Premier,Varios,BlueTools,0,0
BLTAM0122,Accion Multiple Verde Ingles x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0123,Accion Multiple Verde Ingles x 1 - Premier,Varios,BlueTools,0,0
BLTAM0124,Accion Multiple Verde Ingles x 4 - Premier,Varios,BlueTools,0,0
BLTAM0126,Accion Multiple Verde Ingles x 20 - Premier,Varios,BlueTools,0,0
BLTAM0132,Accion Multiple Verde Claro x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0133,Accion Multiple Verde Claro x 1 - Premier,Varios,BlueTools,0,0
BLTAM0134,Accion Multiple Verde Claro x 4 - Premier,Varios,BlueTools,0,0
BLTAM0136,Accion Multiple Verde Claro x 20 - Premier,Varios,BlueTools,0,0
BLTAM0142,Accion Multiple Verde Manzana x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0143,Accion Multiple Verde Manzana x 1 - Premier,Varios,BlueTools,0,0
BLTAM0144,Accion Multiple Verde Manzana x 4 - Premier,Varios,BlueTools,0,0
BLTAM0146,Accion Multiple Verde Manzana x 20 - Premier,Varios,BlueTools,0,0
BLTAM0162,Accion Multiple Azul Marino x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0163,Accion Multiple Azul Marino x 1 - Premier,Varios,BlueTools,0,0
BLTAM0164,Accion Multiple Azul Marino x 4 - Premier,Varios,BlueTools,0,0
BLTAM0166,Accion Multiple Azul Marino x 20 - Premier,Varios,BlueTools,0,0
BLTAM0172,Accion Multiple Azulejo x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0173,Accion Multiple Azulejo x 1 - Premier,Varios,BlueTools,0,0
BLTAM0174,Accion Multiple Azulejo x 4 - Premier,Varios,BlueTools,0,0
BLTAM0176,Accion Multiple Azulejo x 20 - Premier,Varios,BlueTools,0,0
BLTAM0182,Accion Multiple Azul Electrico x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0183,Accion Multiple Azul Electrico x 1 - Premier,Varios,BlueTools,0,0
BLTAM0184,Accion Multiple Azul Electrico x 4 - Premier,Varios,BlueTools,0,0
BLTAM0186,Accion Multiple Azul Electrico x 20 - Premier,Varios,BlueTools,0,0
BLTAM0192,Accion Multiple Celeste Traful x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0193,Accion Multiple Celeste Traful x 1 - Premier,Varios,BlueTools,0,0
BLTAM0194,Accion Multiple Celeste Traful x 4 - Premier,Varios,BlueTools,0,0
BLTAM0196,Accion Multiple Celeste Traful x 20 - Premier,Varios,BlueTools,0,0
BLTAM0202,Accion Multiple Violeta x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0203,Accion Multiple Violeta x 1 - Premier,Varios,BlueTools,0,0
BLTAM0204,Accion Multiple Violeta x 4 - Premier,Varios,BlueTools,0,0
BLTAM0206,Accion Multiple Violeta x 20 - Premier,Varios,BlueTools,0,0
BLTAM0212,Accion Multiple Negro x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0213,Accion Multiple Negro x 1 - Premier,Varios,BlueTools,0,0
BLTAM0214,Accion Multiple Negro x 4 - Premier,Varios,BlueTools,0,0
BLTAM0216,Accion Multiple Negro x 20 - Premier,Varios,BlueTools,0,0
BLTAM0222,Accion Multiple Gris Hielo x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0223,Accion Multiple Gris Hielo x 1 - Premier,Varios,BlueTools,0,0
BLTAM0224,Accion Multiple Gris Hielo x 4 - Premier,Varios,BlueTools,0,0
BLTAM0226,Accion Multiple Gris Hielo x 20 - Premier,Varios,BlueTools,0,0
BLTAM0232,Accion Multiple Gris Espacial x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0233,Accion Multiple Gris Espacial x 1 - Premier,Varios,BlueTools,0,0
BLTAM0234,Accion Multiple Gris Espacial x 4 - Premier,Varios,BlueTools,0,0
BLTAM0236,Accion Multiple Gris Espacial x 20 - Premier,Varios,BlueTools,0,0
BLTAM0242,Accion Multiple Gris x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0243,Accion Multiple Gris x 1 - Premier,Varios,BlueTools,0,0
BLTAM0244,Accion Multiple Gris x 4 - Premier,Varios,BlueTools,0,0
BLTAM0246,Accion Multiple Gris x 20 - Premier,Varios,BlueTools,0,0
BLTAM0252,Accion Multiple Aluminio x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0253,Accion Multiple Aluminio x 1 - Premier,Varios,BlueTools,0,0
BLTAM0254,Accion Multiple Aluminio x 4 - Premier,Varios,BlueTools,0,0
BLTAM0256,Accion Multiple Aluminio x 20 - Premier,Varios,BlueTools,0,0
BLTAM0272,Accion Multiple Cedro x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0273,Accion Multiple Cedro x 1 - Premier,Varios,BlueTools,0,0
BLTAM0274,Accion Multiple Cedro x 4 - Premier,Varios,BlueTools,0,0
BLTAM0276,Accion Multiple Cedro x 20 - Premier,Varios,BlueTools,0,0
BLTAM0282,Accion Multiple Bermel x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0283,Accion Multiple Bermel x 1 - Premier,Varios,BlueTools,0,0
BLTAM0284,Accion Multiple Bermel x 4 - Premier,Varios,BlueTools,0,0
BLTAM0286,Accion Multiple Bermel x 20 - Premier,Varios,BlueTools,0,0
BLTAM0292,Accion Multiple Rojo Fuego x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0293,Accion Multiple Rojo Fuego x 1 - Premier,Varios,BlueTools,0,0
BLTAM0294,Accion Multiple Rojo Fuego x 4 - Premier,Varios,BlueTools,0,0
BLTAM0296,Accion Multiple Rojo Fuego x 20 - Premier,Varios,BlueTools,0,0
BLTAM0312,Accion Multiple Rosa Chicle x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0313,Accion Multiple Rosa Chicle x 1 - Premier,Varios,BlueTools,0,0
BLTAM0314,Accion Multiple Rosa Chicle x 4 - Premier,Varios,BlueTools,0,0
BLTAM0316,Accion Multiple Rosa Chicle x 20 - Premier,Varios,BlueTools,0,0
BLTAM0322,Accion Multiple Blanco x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0323,Accion Multiple Blanco x 1 - Premier,Varios,BlueTools,0,0
BLTAM0324,Accion Multiple Blanco x 4 - Premier,Varios,BlueTools,0,0
BLTAM0326,Accion Multiple Blanco x 20 - Premier,Varios,BlueTools,0,0
BLTAM0332,Accion Multiple Blanco Mate x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0333,Accion Multiple Blanco Mate x 1 - Premier,Varios,BlueTools,0,0
BLTAM0334,Accion Multiple Blanco Mate x 4 - Premier,Varios,BlueTools,0,0
BLTAM0336,Accion Multiple Blanco Mate x 20 - Premier,Varios,BlueTools,0,0
BLTAM0342,Accion Multiple Negro Mate x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0343,Accion Multiple Negro Mate x 1 - Premier,Varios,BlueTools,0,0
BLTAM0344,Accion Multiple Negro Mate x 4 - Premier,Varios,BlueTools,0,0
BLTAM0346,Accion Multiple Negro Mate x 20 - Premier,Varios,BlueTools,0,0
BLTAM0352,Accion Multiple Negro Satinado x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0353,Accion Multiple Negro Satinado x 1 - Premier,Varios,BlueTools,0,0
BLTAM0354,Accion Multiple Negro Satinado x 4 - Premier,Varios,BlueTools,0,0
BLTAM0356,Accion Multiple Negro Satinado x 20 - Premier,Varios,BlueTools,0,0
BLTAM0362,Accion Multiple Blanco Satinado x 1/2 - Premier,Varios,BlueTools,0,0
BLTAM0363,Accion Multiple Blanco Satinado x 1 - Premier,Varios,BlueTools,0,0
BLTAM0364,Accion Multiple Blanco Satinado x 4 - Premier,Varios,BlueTools,0,0
BLTAM0366,Accion Multiple Blanco Satinado x 20 - Premier,Varios,BlueTools,0,0
BLTAMC6DI,"Alicate Media Caña Cv 6"" - Duroll",Pinzas y Alicates,BlueTools,0,0
BLTAMC6LD,"Alicate Media Caña 6"" - Duroll",Pinzas y Alicates,BlueTools,0,0
BLTAMC8DI,"Alicate Media Caña Cv 8"" - Duroll",Pinzas y Alicates,BlueTools,0,0
BLTAMCDD,Andamio Doble Multiuso Portatil 3.7 mt - Duroll,Varios,BlueTools,0,0
BLTAMPD,Andamio Individual Multiuso Portatil - Duroll,Varios,BlueTools,0,0
BLTANO8,Terraja para Pvc 1/2 a 1 Estr. - Sanogas,Albañilería,BlueTools,0,0
BLTANPD,Arco Nivelador Porcelanato x 100 unid. - Duroll,Varios,BlueTools,0,0
BLTAP100,Alambre Pua Galvanizado 5 kg x 100 mt,Varios,BlueTools,0,0
BLTAP250,Alambre Pua Galvanizado 12.5 kg x 250 mt,Varios,BlueTools,0,0
BLTAP50,Alambre Pua Galvanizado 2.5 kg x 50 mt,Varios,BlueTools,0,0
BLTAP500,Alambre Pua Galvanizado 25 kg x 500 mt,Varios,BlueTools,0,0
BLTAPB3PD,Adaptador Bocallave Sds-plus x 3 unid. - Duroll,Bocallaves y Dados,BlueTools,0,0
BLTAPBD1234,"Adaptador Bocallave Crv 1/2"" H x 3/4"" M - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTAPBD1238,"Adaptador Bocallave Crv 1/2"" H x 3/8"" M - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTAPBD1438,"Adaptador Bocallave Crv 1/4"" H x 3/8"" M - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTAPBD3412,"Adaptador Bocallave Crv 3/4"" H x 1/2"" M - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTAPBD3812,"Adaptador Bocallave Crv 3/8"" H x 1/2"" M - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTAPBD3814,"Adaptador Bocallave Crv 3/8"" H x 1/4"" M - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTAPC6D,"Alicate Punta Curva Cv 6"" - Duroll",Pinzas y Alicates,BlueTools,0,0
BLTAPC6DI,"Alicate Punta Chata Cv 6"" - Duroll",Pinzas y Alicates,BlueTools,0,0
BLTAPD003,Limpiafondo 8 Ruedas - Kushiro,Varios,BlueTools,0,0
BLTAPD004,Limpiafondo Triangular - Kushiro,Varios,BlueTools,0,0
BLTAPD005,Cepillo Pared Curvo Aluminio - Kushiro,Varios,BlueTools,0,0
BLTAPD009,Limpiafondo Medialuna Pesado - Kushiro,Varios,BlueTools,0,0
BLTAPD015,Cepillo Pared Curvo Inoxidable - Kushiro,Varios,BlueTools,0,0
BLTAR14D,"Acople Rapido 1/4"" - Duroll",Varios,BlueTools,0,0
BLTAR312,Remachadora Profesional M5 - Argenrap,Varios,BlueTools,0,0
BLTAR530,Remachadora Palanca 3 Mordazas - Argenrap,Varios,BlueTools,0,0
BLTAREPVT,Repelente - Vt,Varios,BlueTools,0,0
BLTARTT4,Remachadora Fuelle 3 Mordazas - Argenrap,Varios,BlueTools,0,0
BLTAS12D,"Arco Sierra Metalico 12"" - Duroll",Sierras,BlueTools,0,0
BLTAS12RD,"Arco Sierra Metalico Reforzado 12"" - Duroll",Sierras,BlueTools,0,0
BLTASBOL20,Brea en Panes x 20 kg,Varios,BlueTools,0,0
BLTASJD,Arco Sierra Junior Reforzado - Duroll,Sierras,BlueTools,0,0
BLTAT,Andamio 2.5 mt - Duroll,Varios,BlueTools,0,0
BLTAT12,"Aislante Termico Caño Cobre 1/2"" 2 mt",Sanitaria,BlueTools,0,0
BLTAT14,"Aislante Termico Caño Cobre 1/4"" 2 mt",Sanitaria,BlueTools,0,0
BLTAT2007,Tubo Extensible Pvc 40/50 - Gloss,Varios,BlueTools,0,0
BLTAT2011,"Descarga para Lavatorio Flexible 1 1/4"" - Gloss",Sanitaria,BlueTools,0,0
BLTAT3,Juego Andamio Tubular 3 mt - Duroll,Juegos y Sets,BlueTools,0,0
BLTAT38,"Aislante Termico Caño Cobre 3/8"" 2 mt",Sanitaria,BlueTools,0,0
BLTAT58,"Aislante Termico Caño Cobre 5/8"" 2 mt",Sanitaria,BlueTools,0,0
BLTAT70,Juego Andamio Tubular 0.70 x 2.5 mt - Duroll,Juegos y Sets,BlueTools,0,0
BLTATDG,Toallero Doble Barral Baño Inoxidable Black Etition - Gloss,Varios,BlueTools,0,0
BLTATPP,Juego Andamio Tubular Plegable 0.70 - Duroll,Juegos y Sets,BlueTools,0,0
BLTATUB09E,Liston para Led T8 9W - Etheos,Iluminación,BlueTools,0,0
BLTATUB18E,Liston para Led T8 18W - Etheos,Iluminación,BlueTools,0,0
BLTB100101,Bisagra Soldar P8 100 x 33 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB100102,Bisagra Soldar P8 88 x 33 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB100103,Bisagra Soldar P8 60 x 33 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB100104,Bisagra Soldar P8 100 x 8 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB100105,Bisagra Soldar P8 88 x 8 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB100106,Bisagra Soldar P8 60 x 8 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB100108,Bisagra Soldar Sin Perno P12 100 x 33 x 3 mm - Tbm,Bulonería,BlueTools,0,0
BLTB100109,Bisagra Soldar Sin Perno Golpe P12 100 x 33 x 3 mm - Tbm,Bulonería,BlueTools,0,0
BLTB100201,Bisagra Soldar P10 125 x 75 x 3 mm - Tbm,Varios,BlueTools,0,0
BLTB100202,Bisagra Municion Soldar 125 x 75 x 37 x 3 mm - Tbm,Varios,BlueTools,0,0
BLTB100203,Bisagra Soldar P10 125 x 37 x 3 mm - Tbm,Varios,BlueTools,0,0
BLTB100204,Bisagra Municion Soldar 125 x 37 x 3 mm - Tbm,Varios,BlueTools,0,0
BLTB100205,Bisagra Soldar Amurar P14 60 x 65 x 4.8 mm - Tbm,Varios,BlueTools,0,0
BLTB100206,Bisagra Soldar P14 60 x 35 x 4.8 mm - Tbm,Varios,BlueTools,0,0
BLTB100207,Bisagra Soldar Amurar P14 60 x 65 x 3.2 mm - Tbm,Varios,BlueTools,0,0
BLTB100208,Bisagra Soldar P14 60 x 35 x 3.2 mm - Tbm,Varios,BlueTools,0,0
BLTB100210,Bisagra Municion Soldar 100 x 37 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB100212,Bisagra Municion Soldar 75 x 37 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB200101,Bisagra Pomela Recta Zinc B/d 75 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB200102,Bisagra Pomela Recta Mixta B/d 75 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB200103,Bisagra Pomela Recta Stnd B/d 75 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB200104,Bisagra Pomela Doble Contacto Std 75 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB200105,Bisagra Pomela Doble Contacto Zinca 75 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB200106,Bisagra Pomela Doble Contacto Mixta 75 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB200109,Bisagra Pomela Recta Zinc B/d 110 x 2.5 mm - Tbm,Varios,BlueTools,0,0
BLTB200201,Bisagra Ficha Carpintero Zinc 2 x 3 x 1.5 mm - Tbm,Varios,BlueTools,0,0
BLTB200202,Bisagra Ficha Carpintero Zinc 2 x 5 x 1.5 mm - Tbm,Varios,BlueTools,0,0
BLTB200501,Bisagra Municion Carpintero Zinc 125 x 75 x 37 x 3 mm - Tbm,Varios,BlueTools,0,0
BLTBA14,Amoladora Recta Neumatica - Barovo,Herramientas Electricas,BlueTools,0,0
BLTBA4,"Amoladora Neumatica 4"" - Barovo",Herramientas Electricas,BlueTools,0,0
BLTBA8,Atornillador Neumatico 8 mm - Barovo,Varios,BlueTools,0,0
BLTBAC400,Sierra Caladora 400W - Barovo,Sierras,BlueTools,0,0
BLTBAE,Balde Albañil Plastico Manija Plastica,Varios,BlueTools,0,0
BLTBAH35241,Destornillador P-3240-250 - Bahco,Destornilladores,BlueTools,0,0
BLTBAID108,"Bocallave Impacto Profesional Crv 1/2"" x 8 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID109,"Bocallave Impacto Profesional Crv 1/2"" x 9 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID110,"Bocallave Impacto Profesional Crv 1/2"" x 10 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID111,"Bocallave Impacto Profesional Crv 1/2"" x 11 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID112,"Bocallave Impacto Profesional Crv 1/2"" x 12 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID113,"Bocallave Impacto Profesional Crv 1/2"" x 13 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID114,"Bocallave Impacto Profesional Crv 1/2"" x 14 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID115,"Bocallave Impacto Profesional Crv 1/2"" x 15 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID116,"Bocallave Impacto Profesional Crv 1/2"" x 16 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID117,"Bocallave Impacto Profesional Crv 1/2"" x 17 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID118,"Bocallave Impacto Profesional Crv 1/2"" x 18 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID119,"Bocallave Impacto Profesional Crv 1/2"" x 19 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID120,"Bocallave Impacto Profesional Crv 1/2"" x 20 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID121,"Bocallave Impacto Profesional Crv 1/2"" x 21 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID122,"Bocallave Impacto Profesional Crv 1/2"" x 22 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID123,"Bocallave Impacto Profesional Crv 1/2"" x 23 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID124,"Bocallave Impacto Profesional Crv 1/2"" x 24 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID125,"Bocallave Impacto Profesional Crv 1/2"" x 25 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID126,"Bocallave Impacto Profesional Crv 1/2"" x 26 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID127,"Bocallave Impacto Profesional Crv 1/2"" x 27 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID128,"Bocallave Impacto Profesional Crv 1/2"" x 28 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID129,"Bocallave Impacto Profesional Crv 1/2"" x 29 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID130,"Bocallave Impacto Profesional Crv 1/2"" x 30 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID131,"Bocallave Impacto Profesional Crv 1/2"" x 31 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID132,"Bocallave Impacto Profesional Crv 1/2"" x 32 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID133,"Bocallave Impacto Profesional Crv 1/2"" x 33 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID134,"Bocallave Impacto Profesional Crv 1/2"" x 34 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID135,"Bocallave Impacto Profesional Crv 1/2"" x 35 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID136,"Bocallave Impacto Profesional Crv 1/2"" x 36 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID138,"Bocallave Impacto Profesional Crv 1/2"" x 38 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID140,"Bocallave Impacto Profesional Crv 1/2"" x 40 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID141,"Bocallave Impacto Profesional Crv 1/2"" x 41 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAID146,"Bocallave Impacto Profesional Crv 1/2"" x 46 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBAT,Baranda para Andamio - Duroll,Varios,BlueTools,0,0
BLTBAT2000,Bateria 2000 mAh - Barovo,Varios,BlueTools,0,0
BLTBAT4000,Bateria 4000 mAh - Barovo,Varios,BlueTools,0,0
BLTBB18ION,Bordeadora Litio 18 v - Barovo,Varios,BlueTools,0,0
BLTBC1TBF,Bomba Centrifuga Turbina Bronce 1 HP - Duroll,Varios,BlueTools,0,0
BLTBC1TBM,Bomba Centrifuga 1 HP - Duroll,Varios,BlueTools,0,0
BLTBC25,Bateria Aut/man 12 v 25 amp - Black & Decker,Varios,BlueTools,0,0
BLTBC40,Bateria Aut/man 12 v 40 amp - Black & Decker,Varios,BlueTools,0,0
BLTBC4560B,Bolsa Escombro 45 x 60 mm x 10 unid.,Varios,BlueTools,0,0
BLTBC6090B,Bolsa Consorcio 60 x 90 cm x 10 unid.,Varios,BlueTools,0,0
BLTBC80110B,Bolsa Consorcio 80 x 110 x 10 unid.,Varios,BlueTools,0,0
BLTBCA,Boya Economica Hongo para 200 gr,Varios,BlueTools,0,0
BLTBCBM42,Cortadora Bloque Manual - Barovo,Varios,BlueTools,0,0
BLTBCD702C1,Taladro Inalambrico 20 v 10 mm - Black & Decker,Herramientas Electricas,BlueTools,0,0
BLTBCD704C1AR,Taladro Inalambrico Litio 20 v 10 mm - Black & Decker,Herramientas Electricas,BlueTools,0,0
BLTBCHION4,Cargador Bateria 60W 18 v - Barovo,Varios,BlueTools,0,0
BLTBCHV001D1E,Aspiradora 500 ml 20 v - Black & Decker,Varios,BlueTools,0,0
BLTBCSC11P,Set Sierra para Madera/durlock Maletin x 11 unid. - Barovo,Sierras,BlueTools,0,0
BLTBD108,"Bocallave Profesional Crv 1/2"" x 8 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD110,"Bocallave Profesional Crv 1/2"" x 10 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD111,"Bocallave Profesional Crv 1/2"" x 11 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD112,"Bocallave Profesional Crv 1/2"" x 12 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD113,"Bocallave Profesional Crv 1/2"" x 13 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD114,"Bocallave Profesional Crv 1/2"" x 14 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD115,"Bocallave Profesional Crv 1/2"" x 15 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD116,"Bocallave Profesional Crv 1/2"" x 16 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD117,"Bocallave Profesional Crv 1/2"" x 17 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD118,"Bocallave Profesional Crv 1/2"" x 18 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD119,"Bocallave Profesional Crv 1/2"" x 19 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD120,"Bocallave Profesional Crv 1/2"" x 20 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD121,"Bocallave Profesional Crv 1/2"" x 21 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD122,"Bocallave Profesional Crv 1/2"" x 22 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD123,"Bocallave Profesional Crv 1/2"" x 23 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD124,"Bocallave Profesional Crv 1/2"" x 24 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD125,"Bocallave Profesional Crv 1/2"" x 25 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD126,"Bocallave Profesional Crv 1/2"" x 26 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD127,"Bocallave Profesional Crv 1/2"" x 27 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD128,"Bocallave Profesional Crv 1/2"" x 28 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD129,"Bocallave Profesional Crv 1/2"" x 29 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD130,"Bocallave Profesional Crv 1/2"" x 30 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD132,"Bocallave Profesional Crv 1/2"" x 32 - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD1403,"Bocallave Profesional Crv 1/4"" 3 mm - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD1404,"Bocallave Profesional Crv 1/4"" 4 mm - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD14045,"Bocallave Profesional Crv 1/4"" 4.5 mm - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD1405,"Bocallave Profesional Crv 1/4"" 5 mm - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD14055,"Bocallave Profesional Crv 1/4"" 5.5 mm - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD1406,"Bocallave Profesional Crv 1/4"" 6 mm - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD1407,"Bocallave Profesional Crv 1/4"" 7 mm - Duroll",Bocallaves y Dados,BlueTools,0,0
BLTBD1408,"Bocallave Profesional Crv 1/4"" 8 mm - Duroll",Bocallaves y Dados,BlueTools,0,0
